"","암호화요양기호","요양기관명","종별코드명","시도코드명","시군구코드명","진료과목코드명","과목별 전문의수","좌표(X)","좌표(Y)"
"2869","JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz","최유상소아청소년과의원","의원","경기","평택시","소아청소년과",1,127.0890999,36.9910109
"2870","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz","최은혜소아청소년과의원","의원","인천","인천남동구","소아청소년과",1,126.7317473,37.4614552
"2871","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjE4MzIjNTEjJDEjJDYjJDgz","최은희소아과의원","의원","서울","송파구","소아청소년과",1,127.145538,37.4928771
"2872","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQwMyQyNjE0ODEjNzEjJDEjJDgjJDgz","최재민소아청소년과의원","의원","서울","강남구","소아청소년과",1,127.0358917,37.4851832
"2873","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNjEjJDEjJDAjJDgz","최재혁소아청소년과의원","의원","충남","천안서북구","소아청소년과",1,127.1087019,36.8173065
"2874","JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz","최재훈소아청소년과의원","의원","전북","군산시","소아청소년과",1,126.7373816,35.9782173
"2875","JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDIjJDgz","최정미소아청소년과의원","의원","울산","울산남구","소아청소년과",1,129.3357469,35.5412254
"2876","JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNTEjJDEjJDYjJDgz","최정화소아청소년과의원","의원","부산","부산남구","소아청소년과",1,129.109571,35.129786
"2877","JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDAjJDgz","최종성소아청소년과의원","의원","충북","증평군","소아청소년과",1,127.5816808,36.7841761
"2878","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz","최지원소아청소년과의원","의원","서울","마포구","소아청소년과",1,126.9037878,37.5706043
